title,company_name,location,is_remote,employment_type,experience_level,min_salary,max_salary,salary_currency,description,requirements_raw,source_url,source_platform,skills_str
Applied ML Machine Learning Engineer,Cloudflare,"New York, NY",False,contract,mid,110000.0,225000.0,USD,Bridge research and production: transform experimental prototypes into low-latency inference APIs.,"- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/cloudflare/11,indeed,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,NLP,FastAPI"
Junior Backend Engineer,Zenith Health Tech,"Chicago, IL",False,full_time,entry,68000.0,148000.0,USD,"We are seeking an engineer to build resilient, distributed backend services, design robust REST/gRPC APIs, and optimize database access.","- Proficient in Python
- Proficient in FastAPI
- Proficient in PostgreSQL
- Proficient in Docker
- Proficient in Git",https://jobs.example.com/zenithhealthtech/12,naukri,"Python,FastAPI,PostgreSQL,Docker,Git,Redis,AWS,Microservices"
QA QA Automation Engineer,Shopify,"Pune, India",False,full_time,mid,75000.0,155000.0,USD,Partner with development teams to incorporate automated tests into CI/CD pipelines and drive test coverage.,"- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/shopify/13,naukri,"Python,Pytest,Selenium,Git,CI/CD,Jest,Bash"
Lead Machine Learning Machine Learning Engineer,Canva,"Austin, TX",True,full_time,lead,170000.0,349000.0,USD,"Work with deep neural networks, model fine-tuning, embeddings, and real-time inference serving.","- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/canva/14,indeed,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,NLP,LangChain"
Lead Backend Engineer,Airbnb,"Pune, India",False,full_time,lead,132000.0,287000.0,USD,"We are seeking an engineer to build resilient, distributed backend services, design robust REST/gRPC APIs, and optimize database access.","- Proficient in Python
- Proficient in FastAPI
- Proficient in PostgreSQL
- Proficient in Docker
- Proficient in Git",https://jobs.example.com/airbnb/15,naukri,"Python,FastAPI,PostgreSQL,Docker,Git,AWS,CI/CD,Linux"
Senior Frontend Engineer,AeroDynamics Soft,"Chicago, IL",False,full_time,senior,104000.0,228000.0,USD,"Help design and implement interactive, responsive user interfaces that deliver exceptional user experiences.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/aerodynamicssoft/16,glassdoor,"React,TypeScript,JavaScript,Tailwind CSS,Git,Next.js,Cypress"
Senior Full Stack Full Stack Developer,FinEdge Capital,"Toronto, Canada",False,full_time,senior,117000.0,247000.0,USD,"Design scalable web systems, implement secure authentication, and optimize full-stack responsiveness.","- Proficient in Python
- Proficient in React
- Proficient in TypeScript
- Proficient in PostgreSQL
- Proficient in Git",https://jobs.example.com/finedgecapital/17,glassdoor,"Python,React,TypeScript,PostgreSQL,Git,FastAPI,Redis,AWS"
Senior Frontend Engineer,CodeCraft Studio,"Los Angeles, CA",True,contract,senior,104000.0,228000.0,USD,"You will optimize client-side rendering performance, integrate GraphQL/REST endpoints, and build reusable UI components.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/codecraftstudio/18,synthetic,"React,TypeScript,JavaScript,Tailwind CSS,Git,Next.js,REST API"
Junior Backend Engineer,Airbnb,Remote,True,full_time,entry,68000.0,148000.0,USD,"We are seeking an engineer to build resilient, distributed backend services, design robust REST/gRPC APIs, and optimize database access.","- Proficient in Python
- Proficient in FastAPI
- Proficient in PostgreSQL
- Proficient in Docker
- Proficient in Git",https://jobs.example.com/airbnb/19,glassdoor,"Python,FastAPI,PostgreSQL,Docker,Git,Kafka,Redis,Pytest,Microservices"
Lead SDET QA Automation Engineer,Canva,Remote,True,full_time,lead,116000.0,240000.0,USD,"Design, write, and execute automated regression test suites for microservices and modern web frontends.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/canva/20,indeed,"Python,Pytest,Selenium,Git,CI/CD,Jest,Bash"
QA QA Automation Engineer,Krypton Data,"Toronto, Canada",True,full_time,mid,75000.0,155000.0,USD,"Design, write, and execute automated regression test suites for microservices and modern web frontends.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/kryptondata/21,glassdoor,"Python,Pytest,Selenium,Git,CI/CD,Jest,REST API"
Lead Machine Learning Machine Learning Engineer,Vanguard Digital,"Chicago, IL",False,full_time,lead,170000.0,349000.0,USD,"Work with deep neural networks, model fine-tuning, embeddings, and real-time inference serving.","- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/vanguarddigital/22,naukri,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,Docker,FastAPI"
Senior Data Data Engineer,Vercel,"San Francisco, CA",False,full_time,senior,124000.0,254000.0,USD,"Build reliable data pipelines, write SQL queries, and manage distributed data storage platforms.","- Proficient in Python
- Proficient in SQL
- Proficient in PostgreSQL
- Proficient in Kafka
- Proficient in Docker",https://jobs.example.com/vercel/23,linkedin,"Python,SQL,PostgreSQL,Kafka,Docker,Git,Elasticsearch"
AI/ML Machine Learning Engineer,CodeCraft Studio,"Boston, MA",False,full_time,mid,110000.0,225000.0,USD,"Train, evaluate, and deploy production machine learning models and LLM agent workflows at scale.","- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/codecraftstudio/24,glassdoor,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,LangChain,Docker,NLP"
Lead Frontend Engineer,Acme Technologies,"Los Angeles, CA",False,full_time,lead,124000.0,271000.0,USD,"Help design and implement interactive, responsive user interfaces that deliver exceptional user experiences.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/acmetechnologies/25,linkedin,"React,TypeScript,JavaScript,Tailwind CSS,Git,Vue.js,GraphQL,Cypress,Agile"
Lead Frontend Engineer,Airbnb,"Los Angeles, CA",False,internship,lead,124000.0,271000.0,USD,"You will optimize client-side rendering performance, integrate GraphQL/REST endpoints, and build reusable UI components.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/airbnb/26,naukri,"React,TypeScript,JavaScript,Tailwind CSS,Git,GraphQL,Vue.js,Cypress,Agile"
Lead Backend Engineer,HashiCorp,Remote,True,internship,lead,132000.0,287000.0,USD,"You will architect and maintain scalable server-side systems, collaborate with cross-functional teams, and write clean, tested code.","- Proficient in Python
- Proficient in FastAPI
- Proficient in PostgreSQL
- Proficient in Docker
- Proficient in Git",https://jobs.example.com/hashicorp/27,naukri,"Python,FastAPI,PostgreSQL,Docker,Git,REST API,Kafka"
Lead SDET QA Automation Engineer,Atlassian,"London, UK",False,full_time,lead,116000.0,240000.0,USD,"Ensure platform reliability through end-to-end integration, API contracts, and browser automation suites.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/atlassian/28,indeed,"Python,Pytest,Selenium,Git,CI/CD,Docker,Jest,Bash"
Frontend Frontend Engineer,Krypton Data,"London, UK",True,internship,mid,80000.0,175000.0,USD,"Help design and implement interactive, responsive user interfaces that deliver exceptional user experiences.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/kryptondata/29,naukri,"React,TypeScript,JavaScript,Tailwind CSS,Git,Cypress,Agile"
DevOps DevOps & Cloud Engineer,Novasphere Labs,"Boston, MA",False,contract,mid,95000.0,205000.0,USD,"Build automated CI/CD deployment pipelines, manage Kubernetes infrastructure, and enforce cloud security posture.","- Proficient in AWS
- Proficient in Docker
- Proficient in Kubernetes
- Proficient in Terraform
- Proficient in Linux",https://jobs.example.com/novaspherelabs/30,synthetic,"AWS,Docker,Kubernetes,Terraform,Linux,Ansible,Git,Azure,CI/CD"
Data Data Engineer,Uber,"Pune, India",False,full_time,mid,95000.0,195000.0,USD,"Optimize streaming and batch data architectures for downstream analytics, dashboards, and ML models.","- Proficient in Python
- Proficient in SQL
- Proficient in PostgreSQL
- Proficient in Kafka
- Proficient in Docker",https://jobs.example.com/uber/31,naukri,"Python,SQL,PostgreSQL,Kafka,Docker,Snowflake,Pandas"
Lead Backend Engineer,Shopify,"Chicago, IL",True,contract,lead,132000.0,287000.0,USD,"We are seeking an engineer to build resilient, distributed backend services, design robust REST/gRPC APIs, and optimize database access.","- Proficient in Python
- Proficient in FastAPI
- Proficient in PostgreSQL
- Proficient in Docker
- Proficient in Git",https://jobs.example.com/shopify/32,glassdoor,"Python,FastAPI,PostgreSQL,Docker,Git,Redis,Microservices"
Software Test QA Automation Engineer,Atlassian,"Hyderabad, India",False,full_time,senior,98000.0,202000.0,USD,"Design, write, and execute automated regression test suites for microservices and modern web frontends.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/atlassian/33,glassdoor,"Python,Pytest,Selenium,Git,CI/CD,Cypress,Jest,Docker,Bash"
QA QA Automation Engineer,Snowflake,"Chicago, IL",False,internship,senior,98000.0,202000.0,USD,"Design, write, and execute automated regression test suites for microservices and modern web frontends.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/snowflake/34,glassdoor,"Python,Pytest,Selenium,Git,CI/CD,Cypress,Linux,Docker"
Staff Data Data Engineer,AeroDynamics Soft,"Denver, CO",False,full_time,lead,147000.0,302000.0,USD,"Optimize streaming and batch data architectures for downstream analytics, dashboards, and ML models.","- Proficient in Python
- Proficient in SQL
- Proficient in PostgreSQL
- Proficient in Kafka
- Proficient in Docker",https://jobs.example.com/aerodynamicssoft/35,glassdoor,"Python,SQL,PostgreSQL,Kafka,Docker,Pandas,Elasticsearch,AWS,Snowflake"
Lead Full Stack Full Stack Developer,NextWave Mobility,"San Francisco, CA",False,full_time,lead,140000.0,294000.0,USD,Looking for a full stack engineer comfortable working from React client-side workflows to backend APIs and relational databases.,"- Proficient in Python
- Proficient in React
- Proficient in TypeScript
- Proficient in PostgreSQL
- Proficient in Git",https://jobs.example.com/nextwavemobility/36,indeed,"Python,React,TypeScript,PostgreSQL,Git,Django,REST API"
Senior DevOps DevOps & Cloud Engineer,Automattic,"Pune, India",False,full_time,senior,124000.0,266000.0,USD,"Maintain infrastructure as code with Terraform, containerize services with Docker, and configure Prometheus/Grafana monitoring.","- Proficient in AWS
- Proficient in Docker
- Proficient in Kubernetes
- Proficient in Terraform
- Proficient in Linux",https://jobs.example.com/automattic/37,indeed,"AWS,Docker,Kubernetes,Terraform,Linux,Bash,Ansible,Git"
Lead Frontend Engineer,GitLab,"London, UK",False,contract,lead,124000.0,271000.0,USD,"You will optimize client-side rendering performance, integrate GraphQL/REST endpoints, and build reusable UI components.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/gitlab/38,linkedin,"React,TypeScript,JavaScript,Tailwind CSS,Git,GraphQL,Jest,Next.js,Vue.js"
QA QA Automation Engineer,GitHub,"Los Angeles, CA",False,internship,mid,75000.0,155000.0,USD,"Design, write, and execute automated regression test suites for microservices and modern web frontends.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/github/39,glassdoor,"Python,Pytest,Selenium,Git,CI/CD,Cypress,Docker"
Mid-Level Backend Engineer,Coinbase,"Bengaluru, India",False,full_time,senior,110000.0,240000.0,USD,Join our core services team building high-throughput microservices handling millions of API requests daily with high availability.,"- Proficient in Python
- Proficient in FastAPI
- Proficient in PostgreSQL
- Proficient in Docker
- Proficient in Git",https://jobs.example.com/coinbase/40,indeed,"Python,FastAPI,PostgreSQL,Docker,Git,CI/CD,Pytest,Microservices,REST API"
Frontend Frontend Engineer,NextWave Mobility,"New York, NY",True,internship,mid,80000.0,175000.0,USD,"You will optimize client-side rendering performance, integrate GraphQL/REST endpoints, and build reusable UI components.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/nextwavemobility/41,indeed,"React,TypeScript,JavaScript,Tailwind CSS,Git,REST API,GraphQL,Cypress"
DevOps DevOps & Cloud Engineer,Vanguard Digital,"Austin, TX",False,contract,mid,95000.0,205000.0,USD,"Maintain infrastructure as code with Terraform, containerize services with Docker, and configure Prometheus/Grafana monitoring.","- Proficient in AWS
- Proficient in Docker
- Proficient in Kubernetes
- Proficient in Terraform
- Proficient in Linux",https://jobs.example.com/vanguarddigital/42,glassdoor,"AWS,Docker,Kubernetes,Terraform,Linux,Azure,GCP"
Staff Data Data Engineer,FinEdge Capital,"New York, NY",False,internship,lead,147000.0,302000.0,USD,"Optimize streaming and batch data architectures for downstream analytics, dashboards, and ML models.","- Proficient in Python
- Proficient in SQL
- Proficient in PostgreSQL
- Proficient in Kafka
- Proficient in Docker",https://jobs.example.com/finedgecapital/43,linkedin,"Python,SQL,PostgreSQL,Kafka,Docker,Redis,Pandas,Git"
Senior QA Automation QA Automation Engineer,Hyperion Analytics,"Bengaluru, India",False,contract,senior,98000.0,202000.0,USD,"Ensure platform reliability through end-to-end integration, API contracts, and browser automation suites.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/hyperionanalytics/44,glassdoor,"Python,Pytest,Selenium,Git,CI/CD,Jest,Linux,REST API"
Lead Machine Learning Machine Learning Engineer,NextWave Mobility,"San Francisco, CA",False,internship,lead,170000.0,349000.0,USD,Bridge research and production: transform experimental prototypes into low-latency inference APIs.,"- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/nextwavemobility/45,naukri,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,Docker,Git,TensorFlow"
Lead Machine Learning Machine Learning Engineer,Shopify,"Austin, TX",True,internship,lead,170000.0,349000.0,USD,"Train, evaluate, and deploy production machine learning models and LLM agent workflows at scale.","- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/shopify/46,naukri,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,Docker,AWS"
Mid-Level Backend Engineer,Coinbase,"Los Angeles, CA",False,internship,senior,110000.0,240000.0,USD,"You will architect and maintain scalable server-side systems, collaborate with cross-functional teams, and write clean, tested code.","- Proficient in Python
- Proficient in FastAPI
- Proficient in PostgreSQL
- Proficient in Docker
- Proficient in Git",https://jobs.example.com/coinbase/47,indeed,"Python,FastAPI,PostgreSQL,Docker,Git,REST API,Linux"
QA QA Automation Engineer,GitLab,"Berlin, Germany",False,internship,mid,75000.0,155000.0,USD,"Ensure platform reliability through end-to-end integration, API contracts, and browser automation suites.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/gitlab/48,naukri,"Python,Pytest,Selenium,Git,CI/CD,Linux,Docker,Cypress"
Cloud Infrastructure DevOps & Cloud Engineer,Elastic,"London, UK",True,contract,mid,95000.0,205000.0,USD,"Build automated CI/CD deployment pipelines, manage Kubernetes infrastructure, and enforce cloud security posture.","- Proficient in AWS
- Proficient in Docker
- Proficient in Kubernetes
- Proficient in Terraform
- Proficient in Linux",https://jobs.example.com/elastic/49,linkedin,"AWS,Docker,Kubernetes,Terraform,Linux,Prometheus,GCP"
Staff Frontend Engineer,Apex Systems,"Toronto, Canada",True,full_time,lead,124000.0,271000.0,USD,"Develop modern, component-driven web applications using React, TypeScript, and modern CSS architecture.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/apexsystems/50,glassdoor,"React,TypeScript,JavaScript,Tailwind CSS,Git,Next.js,GraphQL,Cypress"
Lead SDET QA Automation Engineer,Acme Technologies,"Pune, India",False,contract,lead,116000.0,240000.0,USD,"Design, write, and execute automated regression test suites for microservices and modern web frontends.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/acmetechnologies/51,indeed,"Python,Pytest,Selenium,Git,CI/CD,Linux,Cypress,Bash"
AI/ML Machine Learning Engineer,Datadog,"San Francisco, CA",True,contract,mid,110000.0,225000.0,USD,"Train, evaluate, and deploy production machine learning models and LLM agent workflows at scale.","- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/datadog/52,synthetic,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,Docker,Git,AWS"
Frontend Frontend Engineer,AeroDynamics Soft,"Pune, India",True,full_time,mid,80000.0,175000.0,USD,"Develop modern, component-driven web applications using React, TypeScript, and modern CSS architecture.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/aerodynamicssoft/53,indeed,"React,TypeScript,JavaScript,Tailwind CSS,Git,Next.js,Cypress,Jest,Vue.js"
Lead SRE DevOps & Cloud Engineer,Novasphere Labs,"Hyderabad, India",True,internship,lead,147000.0,318000.0,USD,"Build automated CI/CD deployment pipelines, manage Kubernetes infrastructure, and enforce cloud security posture.","- Proficient in AWS
- Proficient in Docker
- Proficient in Kubernetes
- Proficient in Terraform
- Proficient in Linux",https://jobs.example.com/novaspherelabs/54,glassdoor,"AWS,Docker,Kubernetes,Terraform,Linux,Python,GCP,Bash,Ansible"
Frontend Frontend Engineer,Vercel,"Pune, India",False,full_time,senior,104000.0,228000.0,USD,"You will optimize client-side rendering performance, integrate GraphQL/REST endpoints, and build reusable UI components.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/vercel/55,synthetic,"React,TypeScript,JavaScript,Tailwind CSS,Git,Agile,Vue.js,Next.js,GraphQL"
Lead Data Data Engineer,Atlassian,"Boston, MA",False,full_time,lead,147000.0,302000.0,USD,"Build reliable data pipelines, write SQL queries, and manage distributed data storage platforms.","- Proficient in Python
- Proficient in SQL
- Proficient in PostgreSQL
- Proficient in Kafka
- Proficient in Docker",https://jobs.example.com/atlassian/56,linkedin,"Python,SQL,PostgreSQL,Kafka,Docker,Elasticsearch,Pandas,Redis"
Lead SDET QA Automation Engineer,Stripe,"Boston, MA",False,full_time,lead,116000.0,240000.0,USD,"Design, write, and execute automated regression test suites for microservices and modern web frontends.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/stripe/57,naukri,"Python,Pytest,Selenium,Git,CI/CD,Docker,Bash,REST API"
AI/ML Machine Learning Engineer,OmniScale Networks,"New York, NY",True,full_time,mid,110000.0,225000.0,USD,"Work with deep neural networks, model fine-tuning, embeddings, and real-time inference serving.","- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/omniscalenetworks/58,naukri,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,AWS,TensorFlow,LangChain"
Applied ML Machine Learning Engineer,Aegis Security,"Hyderabad, India",False,full_time,mid,110000.0,225000.0,USD,"Work with deep neural networks, model fine-tuning, embeddings, and real-time inference serving.","- Proficient in Python
- Proficient in Machine Learning
- Proficient in PyTorch
- Proficient in Pandas
- Proficient in Scikit-Learn",https://jobs.example.com/aegissecurity/59,linkedin,"Python,Machine Learning,PyTorch,Pandas,Scikit-Learn,LangChain,Docker"
Cloud Infrastructure DevOps & Cloud Engineer,Elastic,"New York, NY",False,full_time,mid,95000.0,205000.0,USD,"Maintain infrastructure as code with Terraform, containerize services with Docker, and configure Prometheus/Grafana monitoring.","- Proficient in AWS
- Proficient in Docker
- Proficient in Kubernetes
- Proficient in Terraform
- Proficient in Linux",https://jobs.example.com/elastic/60,synthetic,"AWS,Docker,Kubernetes,Terraform,Linux,Ansible,Bash"
Frontend Frontend Engineer,Apex Systems,"Berlin, Germany",True,internship,senior,104000.0,228000.0,USD,"Help design and implement interactive, responsive user interfaces that deliver exceptional user experiences.","- Proficient in React
- Proficient in TypeScript
- Proficient in JavaScript
- Proficient in Tailwind CSS
- Proficient in Git",https://jobs.example.com/apexsystems/61,glassdoor,"React,TypeScript,JavaScript,Tailwind CSS,Git,Jest,Vue.js"
Mid-Level Backend Engineer,Vercel,"San Francisco, CA",True,full_time,mid,85000.0,185000.0,USD,Join our core services team building high-throughput microservices handling millions of API requests daily with high availability.,"- Proficient in Python
- Proficient in FastAPI
- Proficient in PostgreSQL
- Proficient in Docker
- Proficient in Git",https://jobs.example.com/vercel/62,linkedin,"Python,FastAPI,PostgreSQL,Docker,Git,AWS,Microservices,CI/CD,Pytest"
Site Reliability DevOps & Cloud Engineer,Zenith Health Tech,"Pune, India",True,internship,senior,124000.0,266000.0,USD,"Ensure system reliability, low latency, and zero-downtime upgrades across multi-region cloud environments.","- Proficient in AWS
- Proficient in Docker
- Proficient in Kubernetes
- Proficient in Terraform
- Proficient in Linux",https://jobs.example.com/zenithhealthtech/63,synthetic,"AWS,Docker,Kubernetes,Terraform,Linux,Azure,GCP,CI/CD"
DevOps DevOps & Cloud Engineer,Coinbase,"Toronto, Canada",False,full_time,senior,124000.0,266000.0,USD,"Ensure system reliability, low latency, and zero-downtime upgrades across multi-region cloud environments.","- Proficient in AWS
- Proficient in Docker
- Proficient in Kubernetes
- Proficient in Terraform
- Proficient in Linux",https://jobs.example.com/coinbase/64,linkedin,"AWS,Docker,Kubernetes,Terraform,Linux,Ansible,Git,Prometheus,Azure"
QA QA Automation Engineer,Uber,"Denver, CO",True,full_time,senior,98000.0,202000.0,USD,"Ensure platform reliability through end-to-end integration, API contracts, and browser automation suites.","- Proficient in Python
- Proficient in Pytest
- Proficient in Selenium
- Proficient in Git
- Proficient in CI/CD",https://jobs.example.com/uber/65,glassdoor,"Python,Pytest,Selenium,Git,CI/CD,Jest,Linux,Cypress"
Lead Data Data Engineer,Novasphere Labs,"New York, NY",False,internship,lead,147000.0,302000.0,USD,"Optimize streaming and batch data architectures for downstream analytics, dashboards, and ML models.","- Proficient in Python
- Proficient in SQL
- Proficient in PostgreSQL
- Proficient in Kafka
- Proficient in Docker",https://jobs.example.com/novaspherelabs/66,synthetic,"Python,SQL,PostgreSQL,Kafka,Docker,AWS,Redis"
Data Data Engineer,GitLab,"San Francisco, CA",True,contract,senior,124000.0,254000.0,USD,"Optimize streaming and batch data architectures for downstream analytics, dashboards, and ML models.","- Proficient in Python
- Proficient in SQL
- Proficient in PostgreSQL
- Proficient in Kafka
- Proficient in Docker",https://jobs.example.com/gitlab/67,naukri,"Python,SQL,PostgreSQL,Kafka,Docker,Pandas,Elasticsearch,Snowflake"
